Index,CellType
1,CD8_Naive
2,Unknown
3,Teffector_CM
4,naive_T_effectors
5,B_cells_Mem
6,B_cells_Naive
7,CD8_Naive
8,NK_Cells
9,Teffector_EM
10,NK_Cells
11,CD8_Naive
12,CD8_Naive
13,Unknown
14,Unknown
15,CD8_PeaReactive
16,CD8_Naive
17,naive_T_effectors
18,Unknown
19,Teffector_CM
20,CD8_Central_memory
21,B_cells_Naive
22,Classical_mono
23,Unknown
24,CD8_Naive
25,Teffector_CM
26,naive_T_effectors
27,naive_T_effectors
28,Classical_mono
29,Unknown
30,CD8_Naive
31,Teffector_CM
32,B_cells_Naive
33,Treg_Mem
34,Unknown
35,NK_Cells
36,CD8_Naive
37,Classical_mono
38,Classical_mono
39,Unknown
40,CD8_Naive
41,Classical_mono
42,Unknown
43,CD8_Naive
44,CD8_Naive
45,CD8_Naive
46,CD8_Naive
47,Unknown
48,NK_Cells
49,Classical_mono
50,naive_T_effectors
51,Unknown
52,Classical_mono
53,CD8_Naive
54,NK_Cells
55,B_cells_Naive
56,naive_T_effectors
57,naive_T_effectors
58,naive_T_effectors
59,naive_T_effectors
60,Classical_mono
61,B_cells_Naive
62,CD8_Central_memory
63,Unknown
64,Unknown
65,CD8_Naive
66,naive_T_effectors
67,CD8_Naive
68,CD8_Naive
69,naive_T_effectors
70,CD8_Naive
71,Unknown
72,Unknown
73,Unknown
74,Teffector_CM
75,Classical_mono
76,CD8_Naive
77,Unknown
78,CD8_Naive
79,CD8_Naive
80,B_cells_Naive
81,CD8_Naive
82,Unknown
83,Teffector_CM
84,CD8_Naive
85,CD8_Naive
86,CD8_Naive
87,CD8_Naive
88,B_cells_Naive
89,Classical_mono
90,CD8_Effectory_memory
91,Unknown
92,CD8_Naive
93,CD8_Naive
94,B_cells_Naive
95,naive_T_effectors
96,Classical_mono
97,Unknown
98,NK_Cells
99,B_cells_Naive
100,naive_T_effectors
101,NK_Cells
102,Unknown
103,Classical_mono
104,NK_Cells
105,CD8_Central_memory
106,Classical_mono
107,CD8_Naive
108,CD8_Naive
109,CD8_Naive
110,CD8_PeaReactive
111,Teffector_CM
112,B_cells_Naive
113,NK_Cells
114,CD8_Naive
115,Unknown
116,B_cells_Naive
117,naive_T_effectors
118,Teffector_CM
119,CD8_Naive
120,B_cells_Naive
121,CD8_Naive
122,Classical_mono
123,Unknown
124,CD8_Naive
125,CD4_PeaReactive
126,CD8_Naive
127,CD8_Naive
128,Classical_mono
129,Classical_mono
130,Unknown
131,Teffector_CM
132,Teffector_CM
133,Teffector_CM
134,CD8_Naive
135,Classical_mono
136,NK_Cells
137,NK_Cells
138,NK_Cells
139,CD8_Central_memory
140,CD8_Naive
141,CD8_Naive
142,Classical_mono
143,CD8_Naive
144,CD8_Central_memory
145,B_cells_Naive
146,NK_Cells
147,NK_Cells
148,Treg_Mem
149,Treg_Mem
150,CD8_Effectory_memory
151,Teffector_CM
152,Unknown
153,B_cells_Naive
154,CD8_Naive
155,CD8_Naive
156,CD8_Naive
157,CD8_Naive
158,Unknown
159,Teffector_CM
160,CD8_Naive
161,Classical_mono
162,Unknown
163,naive_T_effectors
164,NK_Cells
165,CD8_Naive
166,CD8_Naive
167,Unknown
168,B_cells_Naive
169,Unknown
170,naive_T_effectors
171,CD8_Naive
172,Unknown
173,Treg_Naive
174,Unknown
175,Treg_Mem
176,Teffector_EM
177,CD8_Naive
178,Unknown
179,CD8_Naive
180,Unknown
181,CD8_Naive
182,Unknown
183,Unknown
184,B_cells_Naive
185,CD8_Naive
186,Classical_mono
187,NK_Cells
188,Unknown
189,CD8_Naive
190,CD8_Naive
191,Teffector_CM
192,NK_Cells
193,CD8_Naive
194,CD8_Central_memory
195,CD8_Naive
196,B_cells_Mem
197,Teffector_CM
198,naive_T_effectors
199,CD8_Naive
200,B_cells_Mem
201,NK_Cells
202,CD8_Naive
203,Unknown
204,Teffector_CM
205,Unknown
206,CD8_Naive
207,Classical_mono
208,naive_T_effectors
209,CD8_Effectory_memory
210,Teffector_CM
211,Classical_mono
212,B_cells_Mem
213,B_cells_Naive
214,Unknown
215,Unknown
216,CD8_Naive
217,naive_T_effectors
218,Unknown
219,CD8_PeaReactive
220,Teffector_CM
221,naive_T_effectors
222,Unknown
223,CD8_Naive
224,naive_T_effectors
225,B_cells_Naive
226,CD8_Effectory_memory
227,CD8_Naive
228,CD8_Naive
229,CD8_Naive
230,Teffector_CM
231,B_cells_Naive
232,CD8_Naive
233,naive_T_effectors
234,Teffector_EM
235,CD8_Naive
236,Teffector_EM
237,NK_Cells
238,Teffector_CM
239,Unknown
240,Unknown
241,B_cells_Naive
242,Classical_mono
243,Teffector_CM
244,CD8_Naive
245,Classical_mono
246,CD8_Naive
247,B_cells_Naive
248,B_cells_Naive
249,Classical_mono
250,Unknown
251,CD8_Naive
252,CD8_Naive
253,Treg_Naive
254,naive_T_effectors
255,Unknown
256,B_cells_Naive
257,CD8_Central_memory
258,B_cells_Naive
259,Classical_mono
260,B_cells_Naive
261,Teffector_CM
262,naive_T_effectors
263,Teffector_CM
264,Unknown
265,Teffector_CM
266,B_cells_Naive
267,B_cells_Mem
268,Treg_Naive
269,CD8_Naive
270,CD8_Naive
271,NK_Cells
272,CD8_Naive
273,NK_Cells
274,Teffector_EM
275,naive_T_effectors
276,NK_Cells
277,B_cells_Naive
278,Classical_mono
279,Classical_mono
280,Classical_mono
281,CD8_Naive
282,Teffector_CM
283,CD8_Naive
284,B_cells_Mem
285,CD8_Naive
286,B_cells_Naive
287,Teffector_CM
288,Teffector_CM
289,Teffector_CM
290,NK_Cells
291,Classical_mono
292,Teffector_CM
293,NK_Cells
294,Unknown
295,Unknown
296,Unknown
297,CD8_Naive
298,B_cells_Naive
299,CD8_Naive
300,naive_T_effectors
301,CD8_Naive
302,B_cells_Naive
303,Teffector_EM
304,naive_T_effectors
305,naive_T_effectors
306,Unknown
307,Unknown
308,CD8_Naive
309,Classical_mono
310,Classical_mono
311,Unknown
312,B_cells_Naive
313,Unknown
314,B_cells_Naive
315,CD8_Naive
316,B_cells_Naive
317,Unknown
318,pDCs
319,Teffector_CM
320,Unknown
321,B_cells_Naive
322,Teffector_EM
323,Classical_mono
324,Unknown
325,gdTCR_Naive
326,Unknown
327,B_cells_Naive
328,CD4_PeaReactive
329,Classical_mono
330,Unknown
331,Unknown
332,CD8_Naive
333,CD8_Naive
334,Unknown
335,Classical_mono
336,B_cells_Naive
337,CD8_Naive
338,naive_T_effectors
339,Unknown
340,CD8_Naive
341,Unknown
342,CD8_Naive
343,CD8_Naive
344,B_cells_Naive
345,B_cells_Naive
346,naive_T_effectors
347,Classical_mono
348,Unknown
349,Treg_Mem
350,Teffector_CM
351,naive_T_effectors
352,naive_T_effectors
353,B_cells_Naive
354,Unknown
355,B_cells_Naive
356,naive_T_effectors
357,Unknown
358,Unknown
359,Classical_mono
360,CD8_Naive
361,NK_Cells
362,CD8_Naive
363,Unknown
364,Unknown
365,NK_Cells
366,CD8_Naive
367,Unknown
368,Teffector_CM
369,CD8_Naive
370,Teffector_CM
371,B_cells_Naive
372,CD8_Naive
373,naive_T_effectors
374,Classical_mono
375,NK_Cells
376,CD8_Naive
377,Unknown
378,CD8_Naive
379,Unknown
380,Unknown
381,B_cells_Naive
382,Unknown
383,B_cells_Naive
384,Classical_mono
385,B_cells_Naive
386,Classical_mono
387,Classical_mono
388,naive_T_effectors
389,CD8_Naive
390,B_cells_Naive
391,NK_Cells
392,Unknown
393,CD8_Naive
394,NK_Cells
395,Unknown
396,CD8_Naive
397,CD8_Naive
398,naive_T_effectors
399,Unknown
400,Classical_mono
401,B_cells_Naive
402,Teffector_CM
403,NK_Cells
404,Classical_mono
405,naive_T_effectors
406,CD8_Naive
407,CD8_Central_memory
408,CD8_Naive
409,Unknown
410,naive_T_effectors
411,CD8_Naive
412,Unknown
413,Teffector_CM
414,Unknown
415,CD8_Naive
416,CD8_Naive
417,CD8_Naive
418,naive_T_effectors
419,NK_Cells
420,CD8_Naive
421,CD8_Central_memory
422,B_cells_Naive
423,CD8_Naive
424,Teffector_CM
425,B_cells_Naive
426,CD8_Naive
427,Unknown
428,CD8_Central_memory
429,Unknown
430,CD8_Naive
431,CD8_Central_memory
432,NK_Cells
433,Classical_mono
434,CD8_Naive
435,Teffector_CM
436,CD8_Naive
437,Unknown
438,Teffector_CM
439,B_cells_Naive
440,Unknown
441,NK_Cells
442,Unknown
443,B_cells_Naive
444,B_cells_Naive
445,Treg_Naive
446,B_cells_Naive
447,naive_T_effectors
448,Unknown
449,Treg_Mem
450,CD8_Naive
451,B_cells_Naive
452,Unknown
453,Treg_Naive
454,CD8_Naive
455,Unknown
456,Unknown
457,CD8_Naive
458,CD8_Naive
459,Classical_mono
460,CD8_Naive
461,CD8_Naive
462,Teffector_CM
463,CD8_Naive
464,CD8_Naive
465,Teffector_CM
466,B_cells_Naive
467,CD8_Naive
468,B_cells_Naive
469,Teffector_CM
470,Unknown
471,naive_T_effectors
472,B_cells_Naive
473,Teffector_CM
474,naive_T_effectors
475,Teffector_EM
476,Teffector_EM
477,Unknown
478,B_cells_Mem
479,Treg_Naive
480,Unknown
481,CD8_Naive
482,B_cells_Naive
483,Unknown
484,Unknown
