Index,CellType
1,naive_T_effectors
2,NK_Cells
3,naive_T_effectors
4,Teffector_CM
5,Unknown
6,mCD1
7,Unknown
8,gdTCR_Mem
9,B_cells_Naive
10,naive_T_effectors
11,naive_T_effectors
12,CD8_Naive
13,CD8_Effectory_memory
14,naive_T_effectors
15,NK_Cells
16,Unknown
17,gdTCR_Mem
18,Unknown
19,Teffector_CM
20,naive_T_effectors
21,CD8_Naive
22,Unknown
23,naive_T_effectors
24,NK_Cells
25,Treg_Mem
26,naive_T_effectors
27,CD8_Naive
28,CD8_Naive
29,naive_T_effectors
30,B_cells_Mem
31,B_cells_Naive
32,naive_T_effectors
33,naive_T_effectors
34,Teffector_CM
35,Teffector_CM
36,naive_T_effectors
37,Teffector_CM
38,naive_T_effectors
39,Unknown
40,NK_Cells
41,B_cells_Naive
42,Unknown
43,Unknown
44,naive_T_effectors
45,NK_Cells
46,B_cells_Mem
47,naive_T_effectors
48,CD8_Naive
49,B_cells_Naive
50,naive_T_effectors
51,gdTCR_Mem
52,Treg_Naive
53,naive_T_effectors
54,Teffector_CM
55,CD8_Naive
56,CD8_Naive
57,NK_Cells
58,naive_T_effectors
59,naive_T_effectors
60,naive_T_effectors
61,B_cells_Naive
62,naive_T_effectors
63,naive_T_effectors
64,Teffector_CM
65,Classical_mono
66,NK_Cells
67,B_cells_Mem
68,Treg_Mem
69,Unknown
70,B_cells_Naive
71,NK_Cells
72,NK_Cells
73,naive_T_effectors
74,Treg_Mem
75,CD8_Naive
76,B_cells_Naive
77,CD8_Naive
78,B_cells_Naive
79,NK_Cells
80,CD8_Naive
81,Unknown
82,Teffector_EM
83,CD8_Effectory_memory
84,CD8_Naive
85,naive_T_effectors
86,CD8_Effectory_memory
87,NK_Cells
88,Unknown
89,Classical_mono
90,CD8_Naive
91,B_cells_Mem
92,Unknown
93,naive_T_effectors
94,NK_Cells
95,gdTCR_Mem
96,NK_Cells
97,CD8_Central_memory
98,Teffector_CM
99,Teffector_CM
100,Unknown
101,CD8_PeaReactive
102,CD8_Effectory_memory
103,CD8_Naive
104,Unknown
105,CD8_Naive
106,CD8_Naive
107,NK_Cells
108,Unknown
109,CD8_Naive
110,Unknown
111,naive_T_effectors
112,Unknown
113,Unknown
114,CD8_Naive
115,CD8_Effectory_memory
116,Unknown
117,B_cells_Mem
118,Unknown
119,naive_T_effectors
120,naive_T_effectors
121,NK_Cells
122,NK_Cells
123,B_cells_Naive
124,Unknown
125,Teffector_CM
126,Unknown
127,NK_Cells
128,naive_T_effectors
129,CD8_Naive
130,naive_T_effectors
131,B_cells_Naive
132,NK_Cells
133,NK_Cells
134,Unknown
135,NK_Cells
136,Treg_Naive
137,naive_T_effectors
138,CD8_Naive
139,NK_Cells
140,B_cells_Naive
141,Unknown
142,CD8_Naive
143,CD8_Naive
144,CD8_Naive
145,CD8_Naive
146,Unknown
147,CD8_Effectory_memory
148,naive_T_effectors
149,CD8_Naive
150,Teffector_CM
151,naive_T_effectors
152,Unknown
153,Treg_Mem
154,Treg_Mem
155,gdTCR_Mem
156,Unknown
157,Unknown
158,naive_T_effectors
159,B_cells_Naive
160,Unknown
161,Unknown
162,gdTCR_Mem
163,CD8_Naive
164,NK_Cells
165,gdTCR_Mem
166,Teffector_CM
167,CD8_Naive
168,Teffector_EM
169,naive_T_effectors
170,naive_T_effectors
171,NK_Cells
172,Unknown
173,CD8_Naive
174,CD8_Naive
175,NK_Cells
176,naive_T_effectors
177,CD8_Central_memory
178,CD8_Naive
179,CD8_Naive
180,NK_Cells
181,Classical_mono
182,naive_T_effectors
183,Classical_mono
184,Unknown
185,naive_T_effectors
186,naive_T_effectors
187,Unknown
188,Unknown
189,Classical_mono
190,Unknown
191,gdTCR_Mem
192,Teffector_CM
193,Teffector_CM
194,naive_T_effectors
195,naive_T_effectors
196,Teffector_CM
197,Teffector_CM
198,gdTCR_Mem
199,Teffector_CM
200,Teffector_CM
201,gdTCR_Naive
202,Teffector_CM
203,CD8_Naive
204,B_cells_Naive
205,Unknown
206,Unknown
207,Teffector_CM
208,CD8_Naive
209,Unknown
210,CD8_Naive
211,CD8_Naive
212,gdTCR_Mem
213,Teffector_CM
214,CD8_Naive
215,CD8_Naive
216,CD8_Naive
217,NK_Cells
218,Unknown
219,naive_T_effectors
